activity_id,assay_chembl_id,assay_type,assay_description,document_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation
612772,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL543361,CN(C)CC(CSCCN)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,50000.0,nM,>
615729,CHEMBL819335,B,Inhibition of c-Abl tyrosine kinase,CHEMBL1136010,CHEMBL151546,NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2,IC50,60000.0,nM,>
618239,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL78249,N#CC(Cc1ccc(O)c(O)c1)C(=N)S,IC50,100000.0,nM,>
619547,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL543362,CN(C)CCCC(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,100000.0,nM,>
620607,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL544770,CN(C)CCC(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,100000.0,nM,>
621731,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL542893,Cl.O=C(CCN1CCOCC1)c1ccc(OCc2ccccc2)cc1,IC50,100000.0,nM,>
621737,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL540292,CN(C)CC(CSc1ccccc1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,50000.0,nM,>
623062,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL544067,C=C(CN1CCOCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,100000.0,nM,>
624336,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL468975,C=C(CN(C)C)C(=O)c1ccccc1.Cl,IC50,100000.0,nM,>
625573,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL542887,C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)c(O)c1.Cl,IC50,50000.0,nM,>
625579,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL552634,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)N(C)C)cc2)cc1.Cl,IC50,70000.0,nM,=
628128,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL552860,CN(C)CCC(=O)c1ccc(OCc2ccccc2)c(O)c1.Cl,IC50,100000.0,nM,>
629481,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL310580,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)c(O)c2)cc1,IC50,50000.0,nM,>
703630,CHEMBL819333,B,Inhibition of c-Abl tyrosine kinase,CHEMBL1146824,CHEMBL325023,Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN4CCN(C)CC4)cccc2-3)s1,IC50,17600.0,nM,=
905991,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL60816,O=[N+]([O-])c1cccc(Nc2nccc(-c3ccccn3)n2)c1,IC50,1200.0,nM,=
907474,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL20867,Cc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,IC50,200.0,nM,=
909963,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,38.0,nM,=
909972,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL57581,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3ccc(Cl)cc3)n2)c1,IC50,50000.0,nM,>
912524,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL21162,Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,800.0,nM,=
912531,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL300817,Clc1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,1500.0,nM,=
913909,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL277931,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,IC50,400.0,nM,=
