molecule_chembl_id,pref_name,smiles
CHEMBL444,BARBITAL,CCC1(CC)C(=O)NC(=O)NC1=O
CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
CHEMBL445,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21
CHEMBL446,SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
CHEMBL447,SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
CHEMBL448,PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
CHEMBL7568,QUINACRINE,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
CHEMBL267894,AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
CHEMBL7728,HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
CHEMBL449,BUTABARBITAL,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
CHEMBL7863,APROBARBITAL,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
CHEMBL450,METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O
CHEMBL451,CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
CHEMBL266349,MELAGATRAN,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
CHEMBL452,CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
CHEMBL453,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
CHEMBL454,BUTALBITAL,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
CHEMBL455,SULFACETAMIDE,CC(=O)NS(=O)(=O)c1ccc(N)cc1
CHEMBL43,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
CHEMBL456,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
CHEMBL267744,TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
CHEMBL457,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
CHEMBL45,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
CHEMBL46,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
CHEMBL49,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
CHEMBL51,KETANSERIN,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
CHEMBL459,METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL460,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
CHEMBL53,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
