molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL2420909,c1nc(N2CCC3(CCCCN3)CC2)c2nc[nH]c2n1,SLPPJSSITOXUMX,0,-1,-1,c1nc(N2CCC3(CCCCN3)CC2)c2nc[nH]c2n1,train
CHEMBL247070,c1ccc(-c2oc3ncnc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1,XNFHHOXCDUAYSR,1,-1,-1,c1ccc(-c2oc3ncnc(NCC4CCCO4)c3c2-c2ccccc2)cc1,train
CHEMBL248044,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC,VTTRFTSEAVQHSR,1,-1,-1,c1ccc(C2CC2Nc2ccnc3ccccc23)cc1,train
CHEMBL248392,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCN1CCOCC1,NHWFEYYJOLZGNB,1,-1,-1,c1ccc(C2CC2Nc2ccnc3cc(OCCCN4CCOCC4)ccc23)cc1,train
CHEMBL249820,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(N)(=O)=O)cc3)nc12,BXUFOTJKNXPVHP,1,-1,-1,c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1,train
CHEMBL249821,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12,ZBRROTSBDAODQD,1,-1,1,O=S(=O)(NCCN1CCCC1)c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1,train
CHEMBL250019,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N(C)CCN4CCCC4)cc3)nc12,NXTAONONNMIHOO,1,-1,1,O=S(=O)(NCCN1CCCC1)c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1,train
CHEMBL250021,CCN(CCN1CCCC1)S(=O)(=O)c1ccc(Nc2nnc3cc(-c4cc(O)ccc4Cl)cc(C)c3n2)cc1,BGKZQFXBRTXGLE,1,-1,-1,O=S(=O)(NCCN1CCCC1)c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1,train
CHEMBL250214,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)N4CCNCC4)cc3)nc12,DNLQIFRJOZJGCU,1,-1,1,O=C(c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1)N1CCNCC1,train
CHEMBL250218,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N(CCN4CCCC4)C(C)C)cc3)nc12,KDTFQAJYJIGSFS,1,-1,-1,O=S(=O)(NCCN1CCCC1)c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1,train
CHEMBL250423,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N(C)CCN4CCOCC4)cc3)nc12,PUJPRSYMMNNGBM,1,-1,-1,O=S(=O)(NCCN1CCOCC1)c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1,train
CHEMBL250623,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N4CCNCC4)cc3)nc12,PDEWZRGITAXNMH,1,-1,-1,O=S(=O)(c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1)N1CCNCC1,train
CHEMBL250625,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)C4CCNCC4)cc3)nc12,VAWLAPYBUJTXRS,1,-1,1,O=S(=O)(c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1)C1CCNCC1,train
CHEMBL250821,Cc1cc(-c2c(Cl)ccc(O)c2F)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12,CSXVLYGUGWXOAL,1,-1,-1,O=S(=O)(NCCN1CCCC1)c1ccc(Nc2nnc3cc(-c4ccccc4)ccc3n2)cc1,train
CHEMBL251015,Cc1cc(-c2cccc3[nH]ccc23)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12,SFYPWBCTUYQPBH,1,-1,-1,O=S(=O)(NCCN1CCCC1)c1ccc(Nc2nnc3cc(-c4cccc5[nH]ccc45)ccc3n2)cc1,train
CHEMBL253292,CCN(CC)CCOc1ccc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)cc1,FOMAIMPXVLHOCI,1,1,-1,O=C(Nc1ccccc1)Nc1cc(Nc2ccccc2)ncn1,train
CHEMBL255164,O=C(Nc1nnc(SCc2ccc(Br)cc2)s1)c1ccccc1Cl,ROHHUXKBFOQTFE,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
CHEMBL255165,O=C(Nc1nnc(SCc2ccc([N+](=O)[O-])cc2)s1)c1ccc(F)cc1,ZCTZROLDASTMAW,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
CHEMBL255225,O=C(Nc1nnc(SCc2ccc(F)cc2)s1)c1ccc(Cl)cc1,RRUPAPKNLGSWQG,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
CHEMBL255324,O=C(Nc1nnc(SCc2ccc(Br)cc2)s1)c1ccc(F)cc1,UEVPEEHDLTWCMS,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
CHEMBL255368,O=C(Nc1nnc(SCc2cccc(F)c2)s1)c1ccc(Cl)cc1,YIGAJEDSJOASLF,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
CHEMBL255522,O=C(Nc1nnc(SCc2ccc([N+](=O)[O-])cc2)s1)c1ccccc1Cl,AACFRJDPYQPXPD,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
CHEMBL255738,O=C(Nc1nnc(SCc2ccc(F)cc2)s1)c1ccc(F)cc1,ZDYQINDXPNAOKX,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
CHEMBL259247,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cncnc1,MDBBPOZQZACUGK,1,1,-1,O=C(Nc1cccc(C(=O)Nc2cncnc2)c1)c1ccccc1,train
CHEMBL261827,Fc1ccc(C(Cl)Cn2ncc3c(NCc4cccc(F)c4)ncnc32)cc1,VSJMCLJTKQOXFV,1,-1,-1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,train
CHEMBL268825,Cc1cc(-c2ccccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,NYEBJLYZEHKODB,1,-1,-1,c1ccc(-c2ccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nnc3c2)cc1,train
CHEMBL270286,Fc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(F)cc2)cc1,VAORLJQUVFIABJ,1,-1,-1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,train
CHEMBL270454,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1Cl,GRFQAUITCWORHS,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
CHEMBL270492,Fc1ccc(C(Cl)Cn2ncc3c(NCc4ccccc4F)ncnc32)cc1,GGWGFVATPFHJOU,1,-1,-1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,train
CHEMBL270958,Fc1ccccc1CNc1ncnc2c1cnn2CC(Cl)c1ccccc1,VCOAOUSBGWYYLM,1,-1,-1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,train
CHEMBL271008,O=C(Nc1nnc(SCc2cccc(Cl)c2)s1)c1ccc(F)cc1,GPICYOXDOHPDFD,1,-1,-1,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
