molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL3689588,O=C(Nc1cc2ccc(OC3CCC[C@H]3O)cc2cn1)C1CC1,FSLNTPWBGLDJGV,1,-1,-1,O=C(Nc1cc2ccc(OC3CCCC3)cc2cn1)C1CC1,val
CHEMBL3689589,O=C(Nc1cc2ccc(-c3cccc4[nH]cnc34)cc2cn1)C1CC1,TVJLJOKHPBVMBF,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc4[nH]cnc34)cc2cn1)C1CC1,test
CHEMBL3689590,COC(C)(C)C(=O)Nc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,WXNYFVBWOQBXHW,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689591,Cc1ccc(C(=O)NC2COC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,VQPHWWDDRJEBKZ,1,-1,-1,O=C(NC1COC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
CHEMBL3689592,Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,RGUHHMPVBDARCD,1,-1,-1,O=C(Nc1cncc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1)c1ccc(CN2CCNCC2)cc1,test
CHEMBL3689593,CCS(=O)(=O)Nc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,MREPUGARIHJQHJ,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689594,Cc1ccc(NC(=O)C2(O)CCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,KFYMUIABJNFZCN,1,-1,-1,O=C(Nc1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1)C1CCC1,train
CHEMBL3689595,Cc1ccc(F)cc1-c1ccc2cc(C(=O)NC3CC3)ncc2c1,OUPGMLFAIMRROH,1,-1,-1,O=C(NC1CC1)c1cc2ccc(-c3ccccc3)cc2cn1,test
CHEMBL3689596,Cc1cc([C@H](O)C(F)(F)F)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,MGAKERYLYVGEOF,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689597,Cc1cc([C@@H](O)C(F)(F)F)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,MGAKERYLYVGEOF,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689598,COc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,BFRPJEZRSVZJTK,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
