rank,ad_rank,molecule_chembl_id,pref_name,smiles,PS,in_ad,max_train_sim,p_ABL1,p_c-KIT,p_PDGFRB
667,,CHEMBL1200338,PINACIDIL,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C.O,0.2094,False,0.242,0.0138,0.8623,0.7722
668,,CHEMBL1770916,NIROGACESTAT,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,0.2092,False,0.229,0.7706,0.149,0.0798
669,,CHEMBL1200799,TRAVOPROST,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O,0.2091,False,0.25,0.1661,0.0846,0.6508
670,,CHEMBL1489,AZACITIDINE,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0.2088,False,0.291,0.1827,0.2627,0.1897
671,177.0,CHEMBL3940890,ACORAMIDIS,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,0.2087,True,0.311,0.2998,0.1552,0.1954
672,,CHEMBL1200511,GONADORELIN ACETATE,CC(=O)O.CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,0.2084,False,0.228,0.0111,0.8205,0.9927
673,,CHEMBL4297147,HALOPERIDOL LACTATE,CC(O)C(=O)O.O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.2082,False,0.282,0.0114,0.8173,0.9711
674,,CHEMBL416956,MEFLOQUINE,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,0.2076,False,0.25,0.0837,0.1776,0.6024
675,,CHEMBL1467,ALLOPURINOL,Oc1ncnc2[nH]ncc12,0.2073,False,0.25,0.1396,0.281,0.2272
676,,CHEMBL1668,RESCINNAMINE,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.2071,False,0.235,0.0358,0.4322,0.5733
677,,CHEMBL829,METHYLPROMAZINE,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,0.2065,False,0.226,0.125,0.0715,0.9846
678,,CHEMBL1200671,NAFARELIN ACETATE,CC(=O)O.CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,0.2063,False,0.203,0.0111,0.7998,0.9916
679,,CHEMBL1449,TICARCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,0.2056,False,0.207,0.0393,0.2804,0.7901
680,,CHEMBL2105345,PROPANIDID,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,0.2051,False,0.299,0.0122,0.7616,0.9258
681,,CHEMBL44354,CEFTAZIDIME,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,0.2049,False,0.164,0.1164,0.8122,0.091
682,,CHEMBL2107360,PALIPERIDONE PALMITATE,CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,0.2048,False,0.234,0.0454,0.2036,0.9303
683,,CHEMBL1200501,GOSERELIN ACETATE,CC(=O)O.CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,0.2042,False,0.209,0.0111,0.7795,0.9827
684,,CHEMBL1084172,VILANTEROL TRIFENATATE,O=C(O)C(c1ccccc1)(c1ccccc1)c1ccccc1.OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,0.204,False,0.206,0.0629,0.3298,0.4092
685,,CHEMBL1097279,CANGRELOR TETRASODIUM,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+].[Na+].[Na+],0.2036,False,0.248,0.0283,0.3181,0.9382
686,,CHEMBL1692,IMIPRAMINE HYDROCHLORIDE,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,0.2031,False,0.283,0.0731,0.1196,0.9582
687,,CHEMBL1201005,CEFONICID SODIUM,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12.[Na+].[Na+],0.2027,False,0.196,0.0651,0.5582,0.2292
688,,CHEMBL5315121,TECOVIRIMAT MONOHYDRATE,O.O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,0.2021,False,0.284,0.0313,0.3718,0.7098
689,,CHEMBL3183193,CEFMENOXIME HYDROCHLORIDE,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.Cl,0.2018,False,0.193,0.0622,0.6056,0.2181
690,178.0,CHEMBL407,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.2006,True,0.338,0.0906,0.4529,0.1966
691,,CHEMBL420,GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl,0.2004,False,0.217,0.2411,0.5347,0.0624
692,,CHEMBL4802130,BELUMOSUDIL MESYLATE,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1.CS(=O)(=O)O,0.2003,False,0.287,0.1009,0.3849,0.2069
693,,CHEMBL2105458,THENALIDINE,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,0.2,False,0.263,0.5574,0.0155,0.9256
694,,CHEMBL1201224,CEFMENOXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,0.1997,False,0.194,0.0595,0.6005,0.223
695,,CHEMBL3989403,ZOMEPIRAC SODIUM,Cc1cc(CC(=O)[O-])n(C)c1C(=O)c1ccc(Cl)cc1.O.O.[Na+],0.1997,False,0.24,0.0939,0.4119,0.2061
696,179.0,CHEMBL2105023,INDIGOTINDISULFONATE SODIUM,O=C1/C(=C2\Nc3ccc(S(=O)(=O)[O-])cc3C2=O)Nc2ccc(S(=O)(=O)[O-])cc21.[Na+].[Na+],0.1996,True,0.304,0.0985,0.161,0.5017
697,,CHEMBL1208646,THEOPHYLLINE GLYCINATE,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)O,0.1995,False,0.254,0.2683,0.2208,0.1339
698,,CHEMBL1547,THIAMINE ION,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0.1993,False,0.234,0.7976,0.3871,0.0257
699,,CHEMBL1200750,PROMETHAZINE HYDROCHLORIDE,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,0.1989,False,0.213,0.0915,0.0906,0.948
700,,CHEMBL3311228,OTESECONAZOLE,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1,0.1987,False,0.242,0.0813,0.2197,0.4388
701,,CHEMBL1174,EPTIFIBATIDE,N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,0.1983,False,0.279,0.0335,0.2661,0.8733
702,180.0,CHEMBL1179047,CHLOROPROCAINE,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,0.1983,True,0.324,0.2829,0.4916,0.0561
703,,CHEMBL1200514,DEMECARIUM BROMIDE,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-].[Br-],0.1978,False,0.274,0.1154,0.3689,0.1819
704,181.0,CHEMBL657,DIPHENHYDRAMINE,CN(C)CCOC(c1ccccc1)c1ccccc1,0.1966,True,0.3,0.0665,0.1226,0.9329
705,,CHEMBL54349,ALPIDEM,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,0.1966,False,0.267,0.1134,0.0684,0.9789
706,182.0,CHEMBL180022,NERATINIB,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0.1964,True,0.75,0.7834,0.2986,0.0324
707,,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.1963,False,0.267,0.1121,0.3063,0.2201
708,,CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.1957,False,0.26,0.0562,0.1385,0.9628
709,183.0,CHEMBL1642,IMATINIB MESYLATE,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.1953,True,0.797,0.0325,0.7946,0.2885
710,,CHEMBL1323,DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.1952,False,0.198,0.0256,0.2935,0.9881
711,,CHEMBL1435,CEFAZOLIN,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,0.195,False,0.218,0.0403,0.5999,0.3064
712,,CHEMBL1257073,TECOVIRIMAT,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,0.195,False,0.288,0.0294,0.3466,0.726
713,,CHEMBL1319362,HOMATROPINE HYDROBROMIDE,Br.CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,0.1946,False,0.246,0.147,0.0576,0.8709
714,,CHEMBL1159,PINACIDIL ANHYDROUS,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,0.1939,False,0.242,0.0107,0.8655,0.7867
715,,CHEMBL2111030,PROTHIPENDYL,CN(C)CCCN1c2ccccc2Sc2cccnc21,0.1938,False,0.279,0.0918,0.0813,0.9744
716,,CHEMBL428647,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,0.1934,False,0.198,0.0254,0.7998,0.3562
717,,CHEMBL1201198,PEMIROLAST,Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12,0.1933,False,0.268,0.046,0.3628,0.4329
718,,CHEMBL969,PRAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,0.1931,False,0.247,0.0543,0.1741,0.7617
719,184.0,CHEMBL944,CHLOROPROCAINE HYDROCHLORIDE,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl.Cl,0.193,True,0.319,0.2828,0.4909,0.0518
720,,CHEMBL1200819,ARTICAINE HYDROCHLORIDE,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC.Cl,0.1928,False,0.226,0.1118,0.0865,0.7414
721,,CHEMBL1696,DESIPRAMINE HYDROCHLORIDE,CNCCCN1c2ccccc2CCc2ccccc21.Cl,0.1928,False,0.206,0.0556,0.1385,0.9301
722,185.0,CHEMBL1620,DIPHENHYDRAMINE HYDROCHLORIDE,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,0.1922,True,0.319,0.0568,0.1381,0.9046
723,186.0,CHEMBL193240,ROFLUMILAST,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,0.1919,True,0.329,0.7598,0.2478,0.0376
724,,CHEMBL74632,MOXALACTAM,CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,0.1918,False,0.212,0.0347,0.9239,0.2203
725,,CHEMBL1200952,METHAMPHETAMINE HYDROCHLORIDE,CN[C@@H](C)Cc1ccccc1.Cl,0.1915,False,0.24,0.0785,0.1235,0.725
726,,CHEMBL3545252,DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,0.1914,False,0.235,0.0234,0.7979,0.3753
727,,CHEMBL991,STAVUDINE,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,0.1914,False,0.214,0.0817,0.088,0.9764
