rank,molecule_chembl_id,pref_name,smiles,PS,P_ABL1,P_c-KIT,P_PDGFRB,rank_ABL1,rank_c-KIT,rank_PDGFRB,max_train_sim,heavy_atoms,in_ad,ad_rank,ad_rank_pct
89,CHEMBL3889654,LAROTRECTINIB,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,0.739924904150609,0.7719506,0.7188689,0.73000145,136,335,1053,0.3043478,31,True,43,7.75
92,CHEMBL1201740,NILOTINIB HYDROCHLORIDE MONOHYDRATE,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O,0.7283849029928192,0.9988875,0.7839539,0.493487,10,252,1404,0.8051948,41,True,44,7.93
94,CHEMBL2106615,BAZEDOXIFENE ACETATE,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,0.7265338335141148,0.430791,0.8909394,0.99920076,275,132,49,0.3678161,39,True,45,8.11
96,CHEMBL1983268,ENTRECTINIB,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,0.7242080080955051,0.72031134,0.6437908,0.81907743,158,427,881,0.4375,41,True,46,8.29
97,CHEMBL4596392,CRAVACITINIB,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.7235277413187492,0.8329021,0.72191703,0.62991846,104,326,1198,0.33802816,31,True,47,8.47
99,CHEMBL1289494,TIVOZANIB,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,0.7221240927859279,0.3917163,0.9877781,0.97320527,311,29,392,0.59090906,32,True,48,8.65
100,CHEMBL317052,REGADENOSON ANHYDROUS,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,0.721824332866038,0.55328375,0.79830873,0.85148257,219,229,810,0.31683168,28,True,49,8.83
101,CHEMBL231884,DIOSMIN,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,0.7161871957723933,0.9362157,0.4280449,0.91667295,52,750,634,0.3448276,43,True,50,9.01
104,CHEMBL960,LEFLUNOMIDE,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,0.7124594510060546,0.3952674,0.93712336,0.97632116,305,100,363,0.4909091,19,True,51,9.19
105,CHEMBL255863,NILOTINIB,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,0.7097879491929339,0.99887496,0.7593466,0.47144896,11,281,1447,0.82666665,39,True,52,9.37
107,CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0.7082181856110717,0.42709562,0.8589785,0.96826404,279,170,428,0.8360656,29,True,53,9.55
108,CHEMBL803,CYTARABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.7047257993365913,0.553782,0.70683813,0.8941322,218,353,698,0.33333334,17,True,54,9.73
